,mean.x,,sd.x,median.x,range.x,ztest.x,,
peak_13_60,-7.714285714,7.714285714,4.467475051,-7,18,-13.94274005,-0.952653061,5.416326531
peak_13_70,-9.734693878,9.734693878,4.93193467,-9,20,-17.59441006,-12.93877551,0.040816327
peak_13_80,-11.12244898,11.12244898,5.218686988,-9,21,-20.10262784,9.612244898,12.93877551
peak_13_90,-12.08163265,12.08163265,5.302659453,-11,20,-21.83624896,,
peak_13_100,-12.93877551,12.93877551,5.409898964,-12,20,-23.3854423,,
peak_32_60,-0.040816327,0.040816327,5.115170182,1,20,-0.073771111,,
peak_32_70,-2.93877551,2.93877551,4.474036969,-3,19,-5.311520018,,
peak_32_80,-5.224489796,5.224489796,4.283034877,-4,18,-9.442702254,,
peak_32_90,-6.591836735,6.591836735,4.182893573,-6,17,-11.91403448,,
peak_32_100,-8.183673469,8.183673469,4.289878929,-8,18,-14.79110783,,
peak_64_60,6.93877551,6.93877551,6.410954698,7,25,12.54108893,,
peak_64_70,3.836734694,3.836734694,5.973367764,4,22,6.934484467,,
peak_64_80,1.408163265,1.408163265,5.529912474,2,20,2.545103342,,
peak_64_90,-0.510204082,0.510204082,5.299852392,0,20,-0.922138892,,
peak_64_100,-2.428571429,2.428571429,5.0083264,-2,19,-4.389381126,,
peak_96_60,8.918367347,8.918367347,6.833851814,10,27,16.11898783,,
peak_96_70,5.979591837,5.979591837,6.433926341,6,25,10.80746781,,
peak_96_80,3.530612245,3.530612245,6.198460968,3,23,6.381201132,,
peak_96_90,1.714285714,1.714285714,6.123724357,2,23,3.098386677,,
peak_96_100,-0.102040816,0.102040816,5.542430641,0,20,-0.184427778,,
peak_128_60,9.612244898,9.612244898,7.236528653,9,28,17.37309672,,
peak_128_70,6.673469388,6.673469388,7.013046637,6,28,12.06157671,,
peak_128_80,4.306122449,4.306122449,6.730540102,4,26,7.782852248,,
peak_128_90,2.448979592,2.448979592,6.455169842,3,24,4.426266681,,
peak_128_100,0.428571429,0.428571429,6.03462233,2,25,0.774596669,,
