"","mean.xz","sd.xz","median.xz","range.xz","ztest.xz"
"peak_13_60",-7.81632653061224,4.3285557126856,-7,16,-14.1271678247375
"peak_13_70",-9.57142857142857,4.53688586293873,-9,18,-17.2993256130598
"peak_13_80",-11.1428571428571,4.99165971062398,-10,19,-20.1395134002786
"peak_13_90",-12.0408163265306,5.2438820848421,-11,20,-21.7624778501179
"peak_13_100",-13.1224489795918,5.66654161526685,-12,23,-23.7174123010607
"peak_32_60",-0.693877551020408,4.23873055698211,1,18,-1.25410889305764
"peak_32_70",-3.06122448979592,4.22989441980779,-3,18,-5.53283335172488
"peak_32_80",-5.08163265306122,4.56360938427523,-4,20,-9.1845033638633
"peak_32_90",-6.57142857142857,4.33973885543051,-5,18,-11.8771489283694
"peak_32_100",-8.06122448979592,4.37039359051956,-7,19,-14.5697944928755
"peak_64_60",6.22448979591837,6.12462688020819,6,24,11.2500944818406
"peak_64_70",3.42857142857143,5.74818812032684,3,23,6.19677335393187
"peak_64_80",0.877551020408163,5.36436021760449,1,21,1.58607889416113
"peak_64_90",-1.22448979591837,5.18919272030201,-1,22,-2.21313334068995
"peak_64_100",-3.02040816326531,4.7674669895657,-2,20,-5.45906224036855
"peak_96_60",9.08163265306122,6.84907759815716,8,27,16.4140722767838
"peak_96_70",5.79591836734694,6.66764448611331,4,26,10.4754978125991
"peak_96_80",3.20408163265306,6.20812502504022,3,24,5.79103224147204
"peak_96_90",0.73469387755102,5.46875789600985,1,21,1.32788000441397
"peak_96_100",-0.816326530612245,5.29415349460986,0,20,-1.47542222712663
"peak_128_60",10.3061224489796,7.32917708441363,10,27,18.6272056174738
"peak_128_70",7.08163265306122,7.50510030660783,6,28,12.7992878203236
"peak_128_80",4.24489795918367,6.89664958586444,4,27,7.6721955810585
"peak_128_90",1.79591836734694,6.1744756586988,3,23,3.2459288996786
"peak_128_100",-0.0204081632653061,5.70266675891774,1,22,-0.0368855556781659
