"","mean.z","sd.z","median.z","range.z","ztest.z"
"peak_13_60",-7.71428571428571,4.47679200618776,-7,17,-13.9427400463467
"peak_13_70",-9.53061224489796,4.73067137948519,-9,18,-17.2255545017035
"peak_13_80",-11,4.95815826021451,-10,19,-19.8813145105314
"peak_13_90",-12.0204081632653,5.08465746108808,-11,20,-21.7255922944397
"peak_13_100",-12.8367346938776,5.32034984272459,-12,22,-23.2010145215663
"peak_32_60",-1.3265306122449,3.59042566593225,-1,15,-2.39756111908078
"peak_32_70",-3.55102040816327,3.72525851725866,-2,15,-6.41808668800086
"peak_32_80",-4.95918367346939,4.11784320404034,-4,17,-8.96319002979431
"peak_32_90",-6.61224489795918,4.19730234064399,-6,16,-11.9509200397257
"peak_32_100",-7.59183673469388,4.29106808453588,-7,17,-13.7214267122777
"peak_64_60",5.6530612244898,5.24623285640978,5,22,10.2172989228519
"peak_64_70",2.53061224489796,5.28402482652636,2,23,4.57380890409257
"peak_64_80",0.408163265306122,5.18378227160977,1,25,0.737711113563317
"peak_64_90",-1.85714285714286,4.95395464923395,-1,23,-3.35658556671309
"peak_64_100",-3.91836734693878,4.53154101223615,-2,22,-7.08202669020785
"peak_96_60",8.91836734693878,6.52187579961304,9,27,16.1189878313585
"peak_96_70",5.06122448979592,5.88928463137823,6,23,9.14761780818514
"peak_96_80",2.48979591836735,5.92354922104558,4,26,4.50003779273624
"peak_96_90",0.26530612244898,5.47637163261437,2,24,0.479512223816156
"peak_96_100",-1.89795918367347,4.61990664569816,-1,19,-3.43035667806943
"peak_128_60",10.0408163265306,7.2080949392375,10,27,18.1476933936576
"peak_128_70",6.38775510204082,6.79404250836291,7,25,11.5451789272659
"peak_128_80",3.3469387755102,6.18651429996516,4,28,6.0492311312192
"peak_128_90",1.02040816326531,5.61801342379421,2,26,1.84427778390829
"peak_128_100",-0.959183673469388,5.01646947428115,0,22,-1.7336211168738
