"","mean.x","sd.x","median.x","range.x","ztest.x"
"peak_0.4sec_10_dyn.x",83.448275862069,33.4677069693082,77,171,200.970061246051
"peak_0.4sec_20_dyn.x",27.2298850574713,17.2793068534439,24,99,65.5782472578367
"peak_0.4sec_30_dyn.x",9.75862068965517,13.5096567677479,7,76,23.5018707986084
"peak_0.4sec_40_dyn.x",1.73563218390805,12.1650086935563,-1,64,4.17995581930491
"peak_0.4sec_50_dyn.x",-1.50574712643678,11.7482047745042,-3,60,-3.62631928694665
"peak_1sec_10_dyn.x",79.6436781609195,32.1403090430628,74,156,191.807376635521
"peak_1sec_20_dyn.x",31.0804597701149,19.0892752008328,28,111,74.8516591748376
"peak_1sec_30_dyn.x",11.367816091954,14.3422574060246,9,82,27.3773265251163
"peak_1sec_40_dyn.x",2.64367816091954,12.4974202095959,0,66,6.36682012212006
"peak_1sec_50_dyn.x",-0.781609195402299,11.8148756130766,-3,58,-1.88236421001811
"peak_2sec_10_dyn.x",59.9310344827586,24.8838198590543,54,132,144.3330439858
"peak_2sec_20_dyn.x",31.2298850574713,18.8369386920741,28,103,75.2115229208705
"peak_2sec_30_dyn.x",13.448275862069,14.9827487004451,14,85,32.3877371429586
"peak_2sec_40_dyn.x",3.44827586206897,12.8087530216461,0,69,8.304547985374
"peak_2sec_50_dyn.x",-0.149425287356322,11.8562403700489,-3,56,-0.359863746032873
"peak_3sec_10_dyn.x",56.7471264367816,23.6938900920286,52,128,136.665178012638
"peak_3sec_20_dyn.x",24.8735632183908,16.5499979608663,24,102,59.9034728011644
"peak_3sec_30_dyn.x",12,14.381027553286,10,87,28.8998269891015
"peak_3sec_40_dyn.x",4.13793103448276,12.6795682688158,0,68,9.9654575824488
"peak_3sec_50_dyn.x",0.206896551724138,11.8872003970603,-2,59,0.49827287912244
"peak_4sec_10_dyn.x",54.735632183908,23.0774528894143,49,133,131.820858354503
"peak_4sec_20_dyn.x",22.4942528735632,16.1597213618754,22,104,54.1733346912564
"peak_4sec_30_dyn.x",9.50574712643678,13.3902720357402,8,75,22.8928706130143
"peak_4sec_40_dyn.x",3.40229885057471,12.3659883985244,0,66,8.19382067890234
"peak_4sec_50_dyn.x",0.425287356321839,11.7410353569724,-2,61,1.02422758486279
