"","mean.z","sd.z","median.z","range.z","ztest.z"
"peak_0.4sec_10_dyn.z",82.6206896551724,33.731236430744,78,175,198.976969729561
"peak_0.4sec_20_dyn.z",27.8390804597701,16.1561231557476,27,94,67.0453840685861
"peak_0.4sec_30_dyn.z",10.2758620689655,12.8250206538411,8,70,24.7475529964145
"peak_0.4sec_40_dyn.z",2.33333333333333,11.7519584381406,-1,58,5.6194108034364
"peak_0.4sec_50_dyn.z",-1.49425287356322,11.5696812715826,-4,56,-3.59863746032873
"peak_1sec_10_dyn.z",79.5287356321839,33.0879163921436,73,171,191.530558369342
"peak_1sec_20_dyn.z",29.551724137931,16.5183186687975,28,97,71.1699762346552
"peak_1sec_30_dyn.z",11.3908045977012,13.2114787315927,11,74,27.4326901783521
"peak_1sec_40_dyn.z",2.85057471264368,11.2472515874109,1,61,6.8650930012425
"peak_1sec_50_dyn.z",-1.11494252873563,11.1077442996718,-3,55,-2.68513718193759
"peak_2sec_10_dyn.z",59.5632183908046,24.8290439219809,55,126,143.447225534027
"peak_2sec_20_dyn.z",28.8735632183908,15.9976775914078,26,90,69.5367484641983
"peak_2sec_30_dyn.z",14.1954022988506,14.3817059832079,14,76,34.187055873123
"peak_2sec_40_dyn.z",4.31034482758621,11.3273802312347,2,63,10.3806849817175
"peak_2sec_50_dyn.z",-0.770114942528736,10.8720905217081,-4,52,-1.85468238340019
"peak_3sec_10_dyn.z",54.4942528735632,20.6256070034531,50,105,131.239539995527
"peak_3sec_20_dyn.z",21.2413793103448,13.7519263067088,19,74,51.1560155899038
"peak_3sec_30_dyn.z",11.0919540229885,13.1428928392462,9,74,26.7129626862864
"peak_3sec_40_dyn.z",4.96551724137931,11.4297126821628,3,64,11.9585490989386
"peak_3sec_50_dyn.z",-0.114942528735632,11.0804933222353,-3,53,-0.276818266179133
"peak_4sec_10_dyn.z",51.3793103448276,18.8607142946626,49,97,123.737764982073
"peak_4sec_20_dyn.z",17.6091954022989,12.369651836426,15,68,42.4085583786432
"peak_4sec_30_dyn.z",8.06896551724138,11.9025042346952,6,68,19.4326422857752
"peak_4sec_40_dyn.z",3.88505747126437,11.1234356489438,1,60,9.3564573968547
"peak_4sec_50_dyn.z",0.540229885057471,11.2764465350644,-3,56,1.30104585104193
